MIF,MIF
WDYHV1,ZBTB8B
S100A13,S100A14
S100A16,S100A14
ASTL,CYSRT1
MRPL40,CYSRT1
SPPL2C,CYSRT1
COA5,CYSRT1
SLC25A18,CYSRT1
OR7A17,CYSRT1
LONRF3,CYSRT1
PRR30,CYSRT1
LGALS9C,CYSRT1
RHNO1,CYSRT1
KSR2,CYSRT1
MTNR1A,CYSRT1
SLC43A2,CYSRT1
DACT2,CYSRT1
SLC6A20,CYSRT1
DNASE1L3,CYSRT1
FRZB,CYSRT1
CELF5,CYSRT1
RPUSD3,CYSRT1
WIF1,CYSRT1
TM7SF2,CYSRT1
KCNS2,CYSRT1
LRFN4,CYSRT1
REM2,CYSRT1
CD300LG,CYSRT1
NDUFA9,CYSRT1
RGS3,CYSRT1
MFSD13A,CYSRT1
TIMM22,CYSRT1
KCTD15,CYSRT1
RHBG,CYSRT1
ZSCAN5A,CYSRT1
INPP5D,CYSRT1
HSPD1,CYSRT1
EPS8L1,CYSRT1
IQCN,CYSRT1
LRRN4,CYSRT1
LRRC29,CYSRT1
RAMP3,CYSRT1
NPPB,CYSRT1
GATA2,CYSRT1
MELTF,CYSRT1
ECE1,CYSRT1
PROC,CYSRT1
NECTIN3,CYSRT1
NEU2,CYSRT1
HRG,CYSRT1
MACROH2A1,CYSRT1
CTRC,CYSRT1
CRH,CYSRT1
NKD1,CYSRT1
PKD2,CYSRT1
DALRD3,CYSRT1
ADAMTSL5,CYSRT1
FEZF1,CYSRT1
GLP1R,CYSRT1
FZD10,CYSRT1
ZCCHC14,CYSRT1
ZNF683,CYSRT1
SPATA3,CYSRT1
AREG,CYSRT1
NMU,CYSRT1
PPY,CYSRT1
ADAMTSL3,CYSRT1
GATA3,CYSRT1
NSD1,CYSRT1
ZFHX2,CYSRT1
CBX2,CYSRT1
EMC7,CYSRT1
KRTAP13-4,CYSRT1
ZNF843,CYSRT1
C11orf16,CYSRT1
KRTAP4-4,CYSRT1
BLCAP,CYSRT1
RALGDS,CYSRT1
RSPO2,CYSRT1
COMP,CYSRT1
RAB3IL1,CYSRT1
SLC5A5,CYSRT1
SLC12A4,CYSRT1
ZNF419,CYSRT1
CSF1,CYSRT1
FOXD2,CYSRT1
HHEX,CYSRT1
SPATA24,CYSRT1
C7orf31,CYSRT1
DNAJA3,CYSRT1
SPTSSA,CYSRT1
OTOS,CYSRT1
ESR2,CYSRT1
NPDC1,CYSRT1
CST9L,CYSRT1
SPEF1,CYSRT1
BMP7,CYSRT1
CERK,CYSRT1
LMF2,CYSRT1
CTSG,CYSRT1
ZNF439,CYSRT1
PTGDS,CYSRT1
ZNF330,CYSRT1
EFEMP1,CYSRT1
ERH,CYSRT1
PRR19,CYSRT1
RPS19BP1,CYSRT1
MTA1,CYSRT1
PRF1,CYSRT1
FAM71C,CYSRT1
R3HDM2,CYSRT1
SLC23A1,CYSRT1
SEMA4C,CYSRT1
TMEM174,CYSRT1
CLEC18A,CYSRT1
TAPBPL,CYSRT1
HSPA12B,CYSRT1
LRRC41,CYSRT1
C19orf57,CYSRT1
PGAP6,CYSRT1
KLK8,CYSRT1
NPBWR2,CYSRT1
MXI1,CYSRT1
TYK2,CYSRT1
ICAM4,CYSRT1
PGAP2,CYSRT1
MAP11,CYSRT1
DOCK2,CYSRT1
NECTIN2,CYSRT1
JOSD1,CYSRT1
NUBP2,CYSRT1
LCE3D,CYSRT1
PRR34,CYSRT1
ANAPC11,CYSRT1
HLX,CYSRT1
NR4A3,CYSRT1
C9orf24,CYSRT1
ZNF441,CYSRT1
VWC2L,CYSRT1
P2RX7,CYSRT1
YY1,CYSRT1
C11orf87,CYSRT1
MIIP,CYSRT1
HBZ,CYSRT1
ZBTB25,CYSRT1
CCNK,CYSRT1
CACNA1S,CYSRT1
FOXD4L3,CYSRT1
ZNF266,CYSRT1
HOXB9,CYSRT1
FBXW5,CYSRT1
SLC25A48,CYSRT1
ETNK2,CYSRT1
CTSZ,CYSRT1
DDX43,CYSRT1
ICAM1,CYSRT1
TGFB1,CYSRT1
VSTM4,CYSRT1
ARHGAP9,CYSRT1
SERF2,CYSRT1
LCE3A,CYSRT1
CHIC2,CYSRT1
CFP,CYSRT1
NDUFAF3,CYSRT1
PHLDA1,CYSRT1
CLCNKA,CYSRT1
SLC13A5,CYSRT1
BEX1,CYSRT1
RECK,CYSRT1
NTN4,CYSRT1
GNG13,CYSRT1
SNRPB,CYSRT1
HDHD3,CYSRT1
PCSK5,CYSRT1
FAM83A,CYSRT1
FASLG,CYSRT1
GLB1L2,CYSRT1
SNX18,CYSRT1
LCE2A,CYSRT1
TBX6,CYSRT1
MAPKBP1,CYSRT1
GATA5,CYSRT1
CLDN2,CYSRT1
EFEMP2,CYSRT1
HYAL2,CYSRT1
ZNF446,CYSRT1
SMARCC1,CYSRT1
DBF4B,CYSRT1
SPATA8,CYSRT1
FAM221A,CYSRT1
KRT83,CYSRT1
SH3KBP1,CYSRT1
CHCHD3,CYSRT1
LCE3B,CYSRT1
LCE2C,CYSRT1
LCE5A,CYSRT1
ZNF696,CYSRT1
ZNF319,CYSRT1
ALPP,CYSRT1
GCSAM,CYSRT1
CST2,CYSRT1
ITGB4,CYSRT1
HSD3B7,CYSRT1
GSTP1,CYSRT1
ITGB5,CYSRT1
TNK2,CYSRT1
FOXD4L1,CYSRT1
ATXN7L2,CYSRT1
STK16,CYSRT1
FRS3,CYSRT1
ZNF669,CYSRT1
LMNTD2,CYSRT1
OLIG3,CYSRT1
SPATA46,CYSRT1
ZNF440,CYSRT1
C4orf45,CYSRT1
PITX2,CYSRT1
TCF7L2,CYSRT1
A1CF,CYSRT1
PLAC8,CYSRT1
HEY2,CYSRT1
SHFL,CYSRT1
KRT85,CYSRT1
TTPA,CYSRT1
PROP1,CYSRT1
HR,CYSRT1
SLIT1,CYSRT1
CHRD,CYSRT1
GGN,CYSRT1
ZBTB4,CYSRT1
ZNF414,CYSRT1
RBM22,CYSRT1
FAM102A,CYSRT1
CBLL2,CYSRT1
ZNHIT1,CYSRT1
TNIP3,CYSRT1
ZIC1,CYSRT1
BSCL2,CYSRT1
AVPI1,CYSRT1
ZDHHC1,CYSRT1
ZNF835,CYSRT1
HCK,CYSRT1
ITGB2,CYSRT1
FADS6,CYSRT1
ZNF34,CYSRT1
PLA2G10,CYSRT1
SMARCD1,CYSRT1
LCE2D,CYSRT1
KRTAP12-1,CYSRT1
LCE3E,CYSRT1
LCE1D,CYSRT1
CRCT1,CYSRT1
VASN,CYSRT1
SMCP,CYSRT1
GNE,CYSRT1
LCE2B,CYSRT1
POU4F2,CYSRT1
UTP23,CYSRT1
PTPMT1,CYSRT1
PLLP,CYSRT1
GRN,CYSRT1
CHRNG,CYSRT1
B4GALT7,CYSRT1
KRT20,CYSRT1
PRKAB2,CYSRT1
ZNF775,CYSRT1
WT1,CYSRT1
THAP7,CYSRT1
ZNF648,CYSRT1
ZNF552,CYSRT1
ZNF575,CYSRT1
ZNF408,CYSRT1
ZNF497,CYSRT1
TCEA2,CYSRT1
ZNF581,CYSRT1
ZNF764,CYSRT1
GEM,CYSRT1
IQUB,CYSRT1
ZNF837,CYSRT1
FARS2,CYSRT1
TNS4,CYSRT1
PKN1,CYSRT1
PRPF31,CYSRT1
CLDN19,CYSRT1
SAPCD2,CYSRT1
SMARCE1,CYSRT1
RASD1,CYSRT1
KLHL38,CYSRT1
BEX2,CYSRT1
PDE9A,CYSRT1
SCARF1,CYSRT1
SEMA3B,CYSRT1
VENTX,CYSRT1
SHISA6,CYSRT1
AGXT,CYSRT1
TBX2,CYSRT1
LAGE3,CYSRT1
PLEKHN1,CYSRT1
WDR25,CYSRT1
MYPOP,CYSRT1
TSGA10IP,CYSRT1
ATPAF2,CYSRT1
RAMAC,CYSRT1
CNNM3,CYSRT1
TENT5B,CYSRT1
SH3RF2,CYSRT1
SAXO1,CYSRT1
CARHSP1,CYSRT1
CREB5,CYSRT1
GPS2,CYSRT1
SNRPC,CYSRT1
PATZ1,CYSRT1
TNIP1,CYSRT1
CXCL16,CYSRT1
PVR,CYSRT1
CCDC120,CYSRT1
KRTAP19-2,CYSRT1
KRTAP6-1,CYSRT1
KRTAP11-1,CYSRT1
TEX37,CYSRT1
USP54,CYSRT1
SPRY1,CYSRT1
TRIM42,CYSRT1
ADAM12,CYSRT1
SSC4D,CYSRT1
TFAP2D,CYSRT1
FAM124B,CYSRT1
CRY2,CYSRT1
LCE1C,CYSRT1
KRTAP15-1,CYSRT1
KRTAP19-1,CYSRT1
TCEANC,CYSRT1
NR1D2,CYSRT1
ZNF417,CYSRT1
SCNM1,CYSRT1
ADAMTSL4,CYSRT1
INO80B,CYSRT1
ZNF124,CYSRT1
KRTAP9-8,CYSRT1
HOXC9,CYSRT1
INCA1,CYSRT1
KRTAP13-2,CYSRT1
SMUG1,CYSRT1
YPEL3,CYSRT1
CDKL3,CYSRT1
ZNF438,CYSRT1
IL16,CYSRT1
PRKAA2,CYSRT1
ENKD1,CYSRT1
KRTAP1-1,CYSRT1
ALDH3B1,CYSRT1
BAG3,CYSRT1
BAIAP2L1,CYSRT1
GPATCH2L,CYSRT1
LONRF1,CYSRT1
COL8A1,CYSRT1
ECM1,CYSRT1
KRTAP19-5,CYSRT1
TEPSIN,CYSRT1
KRT34,CYSRT1
FAM214B,CYSRT1
LYVE1,CYSRT1
MCRS1,CYSRT1
UBXN7,CYSRT1
FHL3,CYSRT1
ARHGAP33,CYSRT1
KRT33B,CYSRT1
TLE5,CYSRT1
TTC23,CYSRT1
CARD10,CYSRT1
HOXB5,CYSRT1
CHCHD2,CYSRT1
ACY3,CYSRT1
ZMYND10,CYSRT1
CYSRT1,CYSRT1
ARID5A,CYSRT1
NOXA1,CYSRT1
C19orf54,CYSRT1
KRTAP10-8,CYSRT1
KRTAP6-2,CYSRT1
KRTAP19-6,CYSRT1
MKRN3,CYSRT1
CATSPER1,CYSRT1
MGAT5B,CYSRT1
LENG8,CYSRT1
CERCAM,CYSRT1
CRYBA2,CYSRT1
PPP1R32,CYSRT1
PRR35,CYSRT1
LMO4,CYSRT1
BAHD1,CYSRT1
RNF38,CYSRT1
OTX1,CYSRT1
CRYBA1,CYSRT1
MED25,CYSRT1
PITX1,CYSRT1
ANKS1A,CYSRT1
DMRT3,CYSRT1
LASP1,CYSRT1
FAM90A1,CYSRT1
GAS8,CYSRT1
LNX1,CYSRT1
LMO3,CYSRT1
KRTAP8-1,CYSRT1
FOXH1,CYSRT1
WDYHV1,CYSRT1
KRT31,CYSRT1
DVL3,CYSRT1
LCE1B,CYSRT1
KRTAP5-3,CYSRT1
VWC2,CYSRT1
LCE4A,CYSRT1
LCE1A,CYSRT1
LCE1E,CYSRT1
GUCD1,CYSRT1
NUFIP2,CYSRT1
HOXA1,CYSRT1
WNT11,CYSRT1
MEOX2,CYSRT1
CATSPER4,CCL4L2
SLC10A2,CCL4L2
ITM2C,CCL4L2
CLRN1,CCL4L2
ERVFRD-1,CCL4L2
VSIR,CCL4L2
SLC18A1,CCL4L2
SLC7A1,CCL4L2
JAGN1,CCL4L2
TMEM51,CCL4L2
GPR42,CCL4L2
ELOVL4,CCL4L2
SLC7A14,CCL4L2
GET1,CCL4L2
REEP4,CCL4L2
CPLX4,CCL4L2
COQ9,CCL4L2
TMEM179B,CCL4L2
GPR152,CCL4L2
SSMEM1,CCL4L2
EBP,CCL4L2
MFSD5,CCL4L2
COMT,CCL4L2
AQP6,CCL4L2
SGPL1,CCL4L2
MFSD14B,CCL4L2
RETREG3,CCL4L2
CERS4,CCL4L2
ARL13B,CCL4L2
CREB3L1,CCL4L2
FAM209A,CCL4L2
OR2G6,CDK3
CKS2,CDK3
CCNI,CDK3
CCND3,CDK3
FRS2,CDK3
CDKN1A,CDK3
FOXP2,CDK3
NELFA,CDK3
OTX2,CDK3
PAX8,CDK3
SPDYE4,CDK3
RACGAP1,CDK3
